niche,scene_id,component_name,duration_sec,output_file,script
life,scene-10,BrowserTabOverload,6,life_scene-10_BrowserTabOverload.mp4,my brain had become a browser with fifty tabs open
life,scene-11,ConceptExplainer,6,life_scene-11_ConceptExplainer.mp4,It's called offloading
life,scene-12,WordReveal,5,life_scene-12_WordReveal.mp4,identify your most dreaded task the night before and do it first
life,scene-13,ToolComparison,7,life_scene-13_ToolComparison.mp4,Multiple frogs doesn't multiply the benefit — it multiplies the drag
life,scene-14,ToolComparison,6,life_scene-14_ToolComparison.mp4,To-do lists measure what's left. Done lists measure what happened
life,scene-15,DataVizReveal,7,life_scene-15_DataVizReveal.mp4,Ninety minutes is better
life,scene-16,CounterReveal,5,life_scene-16_CounterReveal.mp4,every context switch costs fifteen to twenty minutes of recovery time
life,scene-17,NumberedTips,7,life_scene-17_NumberedTips.mp4,"exactly three priorities, written tonight"
life,scene-18,AtmosphericQuote,5,life_scene-18_AtmosphericQuote.mp4,What gets measured gets noticed
life,scene-19,HandwrittenReveal,7,life_scene-19_HandwrittenReveal.mp4,Start with one. The one that stings a little when you read it
poetry,scene-01,LineReveal,7,poetry_scene-01_LineReveal.mp4,I worked with things you can measure. Data. Models. Dashboards.
poetry,scene-02,AtmosphericQuote,6,poetry_scene-02_AtmosphericQuote.mp4,a poem finds the exact nerve no dataset ever mapped
poetry,scene-03,AtmosphericQuote,7,poetry_scene-03_AtmosphericQuote.mp4,The lyric form is the one that admits what human experience refuses to sort
poetry,scene-04,DataVizReveal,6,poetry_scene-04_DataVizReveal.mp4,One used numbers. The other used metaphor. Tools different. Curiosity identical.
poetry,scene-05,LineReveal,7,poetry_scene-05_LineReveal.mp4,The best commit messages have grief in them sometimes.
poetry,scene-06,ImageTextReveal,6,poetry_scene-06_ImageTextReveal.mp4,Poetry was already in the server room.
poetry,scene-07,CounterReveal,4,poetry_scene-07_CounterReveal.mp4,You've done this a hundred times.
poetry,scene-08,HandwrittenReveal,7,poetry_scene-08_HandwrittenReveal.mp4,The grey of a commute counts. The brown of bad coffee counts.
poetry,scene-09,AtmosphericQuote,6,poetry_scene-09_AtmosphericQuote.mp4,grief insists on specificity
poetry,scene-10,LineReveal,7,poetry_scene-10_LineReveal.mp4,You miss how they said your name. The exact pitch of their laugh.
poetry,scene-11,VoiceMemoryDissolve,7,poetry_scene-11_VoiceMemoryDissolve.mp4,You miss how they said your name. The exact pitch of their laugh.
poetry,scene-12,DataVizReveal,6,poetry_scene-12_DataVizReveal.mp4,Facts tell you what happened. Poetry tells you what stayed behind.
poetry,scene-13,CounterReveal,4,poetry_scene-13_CounterReveal.mp4,a lyric you've heard forty times that suddenly means something different
poetry,scene-14,ImageTextReveal,6,poetry_scene-14_ImageTextReveal.mp4,It dips its fingers in every colour because it's patient.
poetry,scene-15,WordReveal,5,poetry_scene-15_WordReveal.mp4,A crack is enough.
poetry,scene-16,AtmosphericQuote,6,poetry_scene-16_AtmosphericQuote.mp4,That is not a small thing. It is the whole thing.
